id,meter_code,category,zone,date_creation
264,E5UY586373,I,N,2023-11-09
265,R2BW355578,R4,SE,2022-04-16
266,T7QH252424,R4,S,2023-05-22
267,D2OG356354,R1,S,2022-04-27
268,S7IH141255,P,C,2022-01-08
269,N8YE435587,P,E,2023-12-11
270,P6HT345768,C,C,2022-02-07
271,W1PY834624,R1,SE,2023-09-22
272,F8UE672713,I,SE,2022-10-19
273,O6XX118155,I,S,2021-09-18
274,N8ID486722,R2,O,2023-09-25
275,X6GX724358,S,E,2022-12-30
276,P4EJ515584,R2,NO,2022-11-10
277,A6NC541222,R4,C,2022-08-14
278,A3VF574643,I,N,2022-08-27
279,R4KE463755,CE,N,2023-12-13
280,S3VC815515,R2,SE,2021-08-07
281,T7IW663823,R4,O,2023-03-18
282,U3FR125586,C,SO,2022-12-01
283,O1XK172164,CE,O,2023-04-05
284,Y1YR166444,P,E,2023-12-18
285,R5GY651142,R4,O,2022-02-18
286,P8DH732836,R4,NE,2023-03-20
287,O8WM547157,P,NE,2021-04-09
288,N2IF467554,R4,SO,2023-07-13
289,W6VU245725,R4,C,2022-10-31
290,N5KU261414,R3,SO,2021-07-16
291,W1AU868435,R4,NO,2022-12-01
292,I5CL711127,S,NE,2022-07-12
293,V3JF282218,R3,NO,2023-02-18
294,A7AY775377,I,SE,2022-01-17
295,L2VH428568,CE,O,2021-12-04
296,W7BJ587115,I,O,2021-03-08
297,O6HS355851,R2,N,2023-04-06
298,P5VE187651,S,NO,2021-04-15
299,F3XM516145,I,N,2021-09-13
300,D2NY722743,I,SO,2021-03-05
301,R8CI883486,R1,S,2021-02-19
302,N6DY233188,R4,E,2022-08-29
303,I2WL767276,C,N,2023-08-12
304,K2NM525213,R2,O,2022-11-12
305,W1FV653246,CE,N,2022-06-03
306,X1BT858288,I,E,2021-04-08
307,W8EU855146,P,SE,2022-04-20
308,P5HQ586736,R3,E,2021-10-04
309,V8VR747564,I,SO,2021-07-31
310,J1IV684844,R3,C,2022-02-06
311,Y3VA276123,I,NE,2021-06-23
312,B5HK543443,C,E,2022-04-01
313,E8RA534773,CE,C,2021-12-22
314,Y2LK485582,C,S,2021-10-28
315,F3CP586452,R1,NE,2023-12-08
316,S6UD266573,R1,NE,2023-10-13
317,U8QV625483,R4,SO,2021-10-04
318,V5QF137623,R3,NO,2021-12-26
319,M5QF784873,R3,O,2023-12-20
320,C5MD228516,CE,SO,2021-05-05
321,L5LW336165,R3,NO,2021-10-29
322,L6NJ124157,I,SE,2022-06-03
323,A1TB454153,R1,SO,2022-07-31
324,C1RF553133,I,NE,2023-02-11
325,X2OK562664,R2,SO,2023-04-15
326,A2UE825411,S,NE,2023-09-23
327,P4YC216323,R2,E,2022-12-03
328,L7OE864732,R4,O,2022-03-24
329,Y4VE543778,C,C,2021-08-10
330,K3SP476361,C,C,2023-06-27
331,B4VF314273,I,NE,2023-07-05
332,D5GW161881,C,NE,2023-04-09
333,N5QJ683134,C,O,2022-03-22
334,W1AX724557,R4,NO,2023-07-05
335,D8RD256464,S,SO,2023-12-18
336,W4LM488377,I,C,2022-02-14
337,N6XN434584,CE,S,2021-08-26
338,O3FI865555,S,SO,2023-01-01
339,T3AO865362,R3,SE,2021-08-12
340,N1AX482584,P,O,2022-07-25
341,G3PT548215,R3,S,2021-07-25
342,X6RJ471831,P,SE,2022-09-25
343,P1OE852737,R3,C,2022-04-07
344,E6QO264875,R1,S,2023-01-02
345,M1QN628471,CE,SE,2022-01-30
346,W5ND654442,R2,E,2021-11-06
347,A8KK567468,S,O,2021-01-22
348,A7CU713273,P,SE,2023-05-07
349,G1EJ574355,S,S,2022-06-20
350,K4CV658234,C,O,2023-01-05
351,R6DG265514,R4,S,2023-11-23
352,E2GP827656,R2,NO,2023-06-24
353,K5AH642614,R1,SO,2022-11-27
354,U4QX724354,I,NE,2021-02-05
355,F7TR255754,R3,E,2023-05-01
356,X6JN665285,S,N,2023-09-14
357,M8NC742435,P,NE,2022-02-09
358,Y8NX525757,I,C,2022-01-03
359,K1SB237458,R4,NE,2021-08-24
360,S7FT426863,I,SE,2022-02-13
361,O5VP522362,CE,SE,2022-08-11
362,B7OF877241,R4,NE,2022-03-26
363,F8KU412271,I,SO,2021-04-01
364,M7DO114568,R2,NE,2023-05-26
365,L4KC344412,I,N,2022-01-12
366,K7XB726262,P,SE,2022-07-25
367,B3XX272462,R1,NE,2023-04-21
368,Q7NH236714,R1,O,2021-08-08
369,L6TA752876,C,O,2023-12-07
370,R5SN658812,I,S,2021-01-13
371,F3SW425146,I,SO,2023-01-20
372,V2MX545716,R1,SO,2022-09-24
373,E1OP553324,R1,C,2021-04-25
374,P3RM288835,S,S,2023-07-31
375,H5CW243417,S,S,2023-08-20
376,V4DI443784,R4,O,2021-11-22
377,R5QH357581,P,SE,2023-09-29
378,F7IT166825,R3,O,2021-10-25
379,C5BW285551,I,O,2021-08-06
380,E8UQ524651,I,E,2022-08-18
381,J2NQ854547,R1,SO,2022-10-30
382,I3GY558544,P,E,2023-03-04
383,Q1AY157724,I,N,2023-10-09
384,I1WN812777,R1,SO,2021-01-10
385,H8OK684258,R3,C,2023-07-23
386,B1RP117266,R2,S,2022-12-09
387,S6PJ138727,CE,SO,2023-03-11
388,K4DE245626,P,NE,2022-09-18
389,Q4JN386248,I,S,2023-12-27
390,M2TE765132,P,S,2021-12-13
391,W7MC585672,R4,C,2021-05-22
392,N8KV757473,P,NE,2023-07-14
393,V4LK475286,I,C,2021-03-07
394,O5UK216346,R1,SE,2023-04-28
395,R8UU128675,R4,C,2021-03-18
396,R2QS424267,R3,SO,2021-11-21
397,L6NH385181,R1,C,2022-03-04
398,N7PM637144,CE,NO,2022-10-29
399,B3GS661421,I,E,2023-06-13
400,V4AW333861,C,SE,2023-09-11
401,U2LH648644,R4,SE,2023-11-26
402,D7YC186114,S,C,2022-05-09
403,B7GI178573,S,SO,2021-05-26
404,P1XF816277,CE,N,2021-04-20
405,X7VP616377,R3,E,2023-06-14
406,X7AS441576,R2,NE,2023-04-11
407,P1KM348521,S,N,2022-09-30
408,Y6VQ415464,R1,SO,2023-06-10
409,L3GA136183,S,O,2022-07-30
410,V4MN742237,S,S,2021-06-04
411,D5YU121858,I,NE,2023-08-30
412,F6YD682514,R3,N,2021-06-04
413,G7OE475252,I,O,2023-12-07
414,X3IF584176,I,S,2023-02-06
415,G3XD314357,P,N,2023-08-13
416,O4HS443155,C,S,2023-08-14
417,N3YG476713,R1,C,2023-11-27
418,F6XC357418,I,NO,2023-08-20
419,S5BT352354,S,NE,2022-03-28
420,N2YW481137,C,SO,2021-12-06
421,U5OQ685368,R1,E,2023-08-06
422,G5IE774661,R3,SE,2023-06-22
423,Q5VT466436,CE,C,2022-01-19
424,N7GV738527,C,SE,2022-01-08
425,R8XM688328,S,SO,2023-08-26
426,U5KP142543,R4,SE,2023-02-10
427,E8HX168446,C,C,2023-11-27
428,G3RU363163,R1,N,2023-09-29
429,D7XD548285,R2,N,2022-11-20
430,E7BJ623767,CE,NO,2021-03-08
431,T1DM414815,S,SO,2023-06-13
432,A4JA541446,P,SO,2023-01-13
433,U1QT364435,I,S,2021-07-20
434,O5AN176824,R4,N,2021-09-23
435,S3EE543788,R1,NE,2022-04-27
436,Y6LX286324,P,E,2023-08-17
437,Q3BL713648,I,NO,2021-10-28
438,J8WP234683,R4,SO,2023-12-16
439,B8NI473368,C,S,2022-05-18
440,T6TV151186,I,NO,2022-10-03
441,B4IM152158,R1,SO,2021-07-12
442,T7QD522867,R1,E,2021-11-29
443,A6AF267271,R1,C,2022-09-21
444,U5MQ436115,C,C,2022-04-06
445,W7BE138132,P,SO,2021-10-22
446,K7NX438665,C,E,2022-06-28
447,H7HN216271,R2,C,2023-09-23
448,F1LT442271,P,E,2023-04-03
449,H7UK844553,R4,SO,2023-06-05
450,U8AM343851,P,O,2021-05-25
451,U5LM613756,CE,N,2023-04-06
452,P6RA188674,I,C,2022-07-21
453,Q3YE726383,R1,NE,2021-05-14
454,L3TU583733,R3,N,2023-10-25
455,S2XM864481,S,SO,2021-08-19
456,B6IN271342,R3,O,2021-09-20
457,M2XB383152,S,SO,2021-04-11
458,U1ES516221,I,N,2023-05-04
459,V2TH717387,I,SE,2023-04-14
460,T1HC247344,R2,O,2022-04-21
461,N3SR171388,P,SO,2022-02-21
462,V4YT444775,S,S,2023-01-10
463,F6XH441264,I,E,2022-12-08
464,T3BM266882,R2,E,2023-03-06
465,J6TF365471,R2,SO,2022-12-11
466,U4NA686674,CE,C,2023-03-25
467,J2VU254462,P,SE,2022-09-24
468,T2TN781574,R4,S,2023-05-29
469,E8HS356634,I,SE,2023-06-04
470,U1ET262486,R4,N,2021-02-26
471,H8BT353176,S,S,2021-07-20
472,O8MO172112,R4,S,2021-11-25
473,Y7FX258723,CE,O,2021-07-03
474,M2RG857736,I,NE,2022-04-04
475,Y5YR454745,I,SO,2021-04-21
476,D1ER781234,CE,C,2022-05-23
477,L8IM153127,R4,S,2022-08-07
478,E7BK377478,C,O,2022-09-19
479,B1TP836354,I,O,2023-08-03
480,C4VU353115,R4,C,2021-08-16
481,X7BY884388,P,NO,2023-05-27
482,I6ET545465,R4,S,2023-03-29
483,P6VL776466,S,O,2023-02-02
484,N7RR468585,P,SO,2021-06-01
485,K8JO455663,P,O,2021-11-30
486,X3HS576843,I,N,2021-01-11
487,G1LB436561,R3,E,2023-11-02
488,E4DP846634,S,SE,2022-06-22
489,S2DK282144,R4,O,2023-03-28
490,O5RL447227,I,N,2021-09-25
491,R3XQ113275,I,SO,2021-09-19
492,R5CS751556,R3,NE,2022-12-21
493,I8WB721423,P,SO,2021-07-28
494,P6IT153572,S,S,2021-12-22
495,B8YG375837,P,NO,2023-05-17
496,G3VW318377,R2,SO,2022-09-20
497,L4CO783236,R4,SO,2023-08-02
498,K4IW681624,S,NE,2023-02-27
499,W6GT287446,R2,NO,2022-07-08
500,B4HT418415,R2,E,2023-04-13
501,E2FB111231,CE,NE,2023-04-26
502,X2UI867145,P,NE,2022-02-06
503,R8QH185832,R4,E,2023-06-06
504,A8TE883745,R2,SO,2023-03-12
505,U5AR451343,P,NE,2021-05-27
506,M6UQ153184,I,NE,2023-09-25
507,H3RL827333,R1,N,2023-01-24
508,S1IP353853,I,NO,2021-10-12
509,D8LX737834,P,E,2022-10-28
510,N4LE573352,R2,O,2022-11-30
511,A7JS354276,R3,E,2021-03-07
512,W1ID361785,CE,SO,2022-06-26
513,V8TS741271,R4,N,2023-03-28
514,U4YE777568,R3,NE,2023-12-01
515,X4SV665263,CE,NO,2023-09-16
516,B7QE711733,R2,NO,2023-03-16
517,J4PF156388,R3,SE,2023-11-03
518,G2UK176112,R1,NE,2022-08-14
519,F7SE737821,I,C,2022-04-11
520,U6YP884586,R1,NE,2023-02-02
521,S6NK124846,R4,NO,2022-05-05
522,X5UB136216,I,E,2022-10-20
523,Q3GW255448,I,SE,2021-09-16
524,O2RP576255,R2,SE,2021-12-20
525,H3SD727336,P,NO,2022-10-15
526,K8WM177127,P,E,2022-07-19
527,H7LP476121,P,E,2023-02-17
528,H4TD618233,C,SE,2022-12-22
529,J5KB471387,C,SE,2021-12-29
530,J6IT318216,R1,SE,2023-08-01
531,N3RS616618,I,O,2021-09-25
532,J2KU373655,P,E,2022-06-27
533,J8KA844634,S,SO,2021-06-18
534,F1DR874545,P,S,2023-02-01
535,R8BQ725363,R2,S,2023-07-12
536,V6HO755428,I,O,2023-03-05
537,F6PD466777,I,N,2022-03-18
538,B1WK663723,CE,E,2022-05-06
539,L7FE145874,I,NE,2021-01-07
540,X2XV235775,R1,SO,2023-10-15
541,U1VL725747,R3,SE,2021-05-04
542,C2VL128745,S,O,2022-01-22
543,T5YX428452,R2,SE,2023-07-04
544,S6BL631136,C,E,2023-06-30
545,G6DK588651,P,SO,2022-12-06
546,K6EU513613,I,S,2022-08-26
547,U3KK268471,R1,C,2022-04-01
548,B6GF264436,C,S,2021-04-18
549,J4WQ286637,I,E,2022-01-27
550,N3XH736555,I,SE,2023-05-05
551,H7IA731784,S,SO,2022-01-30
552,F6DH865128,R2,E,2021-04-22
553,B8EB755465,I,E,2023-08-27
554,V3FM375543,I,N,2023-06-17
555,X8MW868534,R3,N,2023-02-25
556,D4AW122438,I,NO,2022-11-24
557,V7QL318346,C,O,2022-06-19
558,H8FF464377,C,SO,2023-03-20
559,H8CL554838,R4,C,2022-04-07
560,I2MO672664,P,SE,2023-02-08
561,O4PG383588,R4,C,2023-10-31
562,L4LW314484,R3,O,2021-03-24
563,G1QM874671,R4,E,2023-08-30
564,Y4HW452146,CE,SE,2023-08-05
565,M5HG276658,CE,S,2021-12-17
566,Q1LK762656,R2,S,2023-07-17
567,J1QK518762,S,E,2021-03-16
568,D5MY434477,R1,O,2021-01-24
569,O2CN586432,S,O,2021-10-23
570,P5BH725626,CE,O,2023-03-06
571,W1AP341556,C,N,2021-09-15
572,F2HL255322,S,NO,2022-02-04
573,J2QB663473,C,NE,2023-10-07
574,C6DF634581,I,S,2021-07-01
575,P1YG738212,CE,O,2022-02-26
576,G6VK673471,CE,SE,2023-09-30
577,T5MD844488,R3,S,2021-10-15
578,Y1RF813682,R1,N,2022-08-25
579,X8ST167787,CE,O,2022-10-01
580,I4SW181126,R2,SO,2022-09-19
581,N6VT373727,R4,S,2021-04-14
582,L8FV836636,CE,N,2023-12-26
583,L5NJ881354,R3,O,2022-02-23
584,A6FA361628,R2,NE,2021-06-02
585,K2DA635288,C,C,2023-12-27
586,H1NI445685,R2,NO,2021-09-12
587,V1SQ551348,I,C,2023-11-11
588,J4RO225263,R1,C,2022-07-28
589,J8SY486828,S,C,2022-08-11
590,E2NS336166,P,C,2021-05-21
591,B2BF661835,P,NE,2021-09-13
592,A1MF634573,R3,NO,2022-01-24
593,Y8KE866127,I,S,2023-09-19
594,D7IK351532,C,SO,2022-12-14
595,Y5QS657626,P,SE,2021-06-14
596,S8HH732163,P,SO,2022-07-22
597,A3VP164175,CE,SE,2023-11-14
598,X5NO413183,R3,N,2022-02-01
599,F5DI118451,R1,SE,2023-11-07
600,V8QC114228,C,SE,2022-09-15
601,C2DW232214,CE,NE,2021-11-22
602,V3HL772823,R2,E,2023-10-01
603,Y6AV476267,R1,O,2022-08-17
604,L5YU685341,R3,SE,2022-12-30
605,G2JN814641,R2,S,2021-08-27
606,W8DS731578,S,SE,2022-06-04
607,K4JX812547,R2,SO,2021-09-12
608,M7AH151385,I,E,2021-02-19
609,G1KC135644,R2,C,2021-06-30
610,F3HH855875,R3,E,2023-05-24
611,V4BH876414,R1,SO,2023-09-30
612,A8MK253811,P,N,2022-03-15
613,T5GM553782,R4,SE,2022-05-29
614,S1FI628278,P,O,2021-12-07
615,G2OW115878,P,NE,2021-11-21
616,Y2PA516487,C,C,2022-04-20
617,D4VM762374,I,N,2023-10-28
618,V5GD126877,I,S,2021-01-02
619,E2YV235524,P,S,2022-10-27
620,T6RK665186,R3,NO,2022-10-02
621,T8YM277168,R3,NE,2021-08-16
622,V4PF373246,CE,SO,2021-08-23
623,W2WV756537,I,NO,2021-01-30
624,B3LF134376,R4,NO,2022-03-30
625,G5EX715277,CE,E,2021-07-04
626,Y3PO131328,CE,C,2022-12-12
627,N5IG546816,R1,S,2022-04-21
628,V6VC711511,R4,C,2022-08-10
629,A5YL152182,R1,SO,2022-06-22
630,M7GX815678,C,NO,2021-12-20
631,M7MX153232,R3,O,2023-03-16
632,B4QY232817,R1,C,2022-08-07
633,K7VH137375,C,C,2023-07-18
634,C6CU332271,R2,SO,2021-05-25
635,W1PP776133,R3,S,2023-10-12
636,M8LD472214,R2,NO,2023-11-16
637,K1SC615213,I,E,2023-12-29
638,U7SX276342,R3,C,2022-02-19
639,Y2DG384173,C,NE,2021-10-01
640,T3IP316553,R1,NE,2023-02-04
641,B8SN266412,C,C,2023-10-10
642,T8OF852113,R2,O,2021-03-31
643,L8MR833153,S,SO,2021-11-01
644,O7HF175225,CE,SE,2023-04-14
645,K1DG475617,C,C,2023-04-19
646,U5TG263214,P,S,2022-04-03
647,K6DW331134,S,N,2023-07-09
648,N4WW183868,P,NE,2022-04-01
649,S4QI153531,R1,O,2022-04-12
650,E8KG772667,R4,SO,2022-02-01
651,O5VF464875,CE,E,2021-11-24
652,W5GU838262,I,E,2022-08-25
653,X7PA748864,R3,C,2021-02-07
654,I5TU712355,R1,SO,2022-11-25
655,F4NF765827,CE,C,2021-08-14
656,J8GH572868,R3,C,2021-06-06
657,H4YH448421,R4,SO,2022-06-25
658,S8OD367125,I,N,2022-07-12
659,K8WJ854422,R1,O,2022-07-27
660,G8TN723876,C,NO,2022-08-15
661,Q6QA217631,I,S,2022-04-02
